freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.528e+01,8.934e+01,7.524e+02,8.570e+02
1.6,4.232e+01,6.390e+01,4.595e+02,5.657e+02
3.1,4.059e+01,2.037e+01,6.367e+01,1.246e+02
4.7,4.315e+01,2.391e+01,3.811e+02,4.482e+02
6.3,3.666e+01,2.514e+01,1.233e+03,1.294e+03
7.8,4.262e+01,2.400e+01,2.097e+03,2.164e+03
9.4,4.532e+01,2.429e+01,3.114e+03,3.183e+03
11.0,4.263e+01,2.746e+01,4.409e+03,4.479e+03
12.5,4.830e+01,3.237e+01,6.261e+03,6.341e+03
14.1,4.549e+01,4.202e+01,8.987e+03,9.075e+03
15.7,4.265e+01,5.124e+01,1.225e+04,1.235e+04
17.2,4.596e+01,6.353e+01,1.584e+04,1.595e+04
18.8,5.419e+01,8.262e+01,1.993e+04,2.006e+04
20.4,4.648e+01,1.026e+02,2.490e+04,2.505e+04
21.9,3.967e+01,1.245e+02,3.207e+04,3.224e+04
23.5,4.261e+01,1.707e+02,4.202e+04,4.224e+04
25.1,6.739e+01,2.979e+02,5.635e+04,5.672e+04
26.7,7.098e+01,4.663e+02,7.297e+04,7.351e+04
28.2,7.033e+01,7.194e+02,9.643e+04,9.722e+04
29.8,1.308e+02,1.121e+03,1.395e+05,1.408e+05
31.4,3.136e+02,1.533e+03,1.727e+05,1.746e+05
32.9,3.389e+02,2.751e+03,1.999e+05,2.030e+05
34.5,2.406e+02,5.229e+03,2.914e+05,2.969e+05
36.1,7.420e+02,1.374e+04,6.396e+05,6.541e+05
37.6,1.544e+03,4.026e+04,1.606e+06,1.648e+06
39.2,2.103e+03,5.800e+04,2.241e+06,2.301e+06
40.8,1.939e+03,6.098e+04,2.232e+06,2.295e+06
42.3,1.680e+03,5.085e+04,1.619e+06,1.671e+06
43.9,1.773e+03,4.205e+04,1.195e+06,1.239e+06
45.5,1.581e+03,3.199e+04,8.163e+05,8.498e+05
47.0,1.591e+03,2.506e+04,5.681e+05,5.947e+05
48.6,2.176e+03,2.154e+04,4.628e+05,4.865e+05
50.2,3.240e+03,1.806e+04,4.013e+05,4.226e+05
51.7,3.976e+03,1.734e+04,3.218e+05,3.431e+05
53.3,3.852e+03,2.151e+04,1.967e+05,2.221e+05
54.9,2.784e+03,2.408e+04,1.113e+05,1.381e+05
56.4,2.274e+03,2.820e+04,8.907e+04,1.195e+05
58.0,2.522e+03,3.029e+04,8.112e+04,1.139e+05
59.6,2.018e+03,3.420e+04,7.581e+04,1.120e+05
61.1,1.361e+03,4.009e+04,7.480e+04,1.162e+05
62.7,3.065e+03,3.984e+04,6.811e+04,1.110e+05
64.3,4.803e+03,4.059e+04,6.042e+04,1.058e+05
65.8,3.965e+03,4.212e+04,5.312e+04,9.920e+04
67.4,2.877e+03,4.263e+04,4.652e+04,9.203e+04
69.0,2.231e+03,4.167e+04,4.498e+04,8.888e+04
70.5,1.689e+03,4.265e+04,4.539e+04,8.972e+04
72.1,1.333e+03,5.051e+04,4.421e+04,9.606e+04
73.7,1.313e+03,7.114e+04,5.488e+04,1.273e+05
75.2,1.754e+03,1.100e+05,7.710e+04,1.889e+05
76.8,2.121e+03,1.610e+05,9.981e+04,2.629e+05
78.4,2.099e+03,1.976e+05,1.118e+05,3.115e+05
80.0,2.134e+03,2.263e+05,1.193e+05,3.477e+05
81.5,1.280e+03,2.500e+05,1.229e+05,3.743e+05
83.1,5.738e+02,2.753e+05,1.237e+05,3.996e+05
84.7,4.569e+02,3.263e+05,1.281e+05,4.548e+05
86.2,5.707e+02,3.982e+05,1.322e+05,5.310e+05
87.8,8.397e+02,4.590e+05,1.267e+05,5.865e+05
89.4,1.249e+03,4.938e+05,1.124e+05,6.074e+05
90.9,1.737e+03,4.764e+05,9.165e+04,5.698e+05
92.5,2.484e+03,4.223e+05,6.994e+04,4.947e+05
94.1,3.496e+03,3.477e+05,5.126e+04,4.025e+05
95.6,4.397e+03,2.796e+05,3.838e+04,3.224e+05
97.2,4.308e+03,2.259e+05,3.003e+04,2.603e+05
98.8,4.060e+03,1.785e+05,2.343e+04,2.060e+05
100.3,3.818e+03,1.383e+05,1.802e+04,1.601e+05
101.9,3.585e+03,9.873e+04,1.534e+04,1.177e+05
103.5,5.011e+03,5.932e+04,1.555e+04,7.989e+04
105.0,1.150e+04,3.040e+04,1.518e+04,5.708e+04
106.6,1.721e+04,1.605e+04,2.017e+04,5.343e+04
108.2,1.567e+04,1.292e+04,2.755e+04,5.614e+04
109.7,3.919e+04,1.800e+04,3.017e+04,8.736e+04
111.3,7.664e+04,2.175e+04,2.746e+04,1.258e+05
112.9,7.928e+04,2.143e+04,2.406e+04,1.248e+05
114.4,5.692e+04,2.355e+04,2.269e+04,1.032e+05
116.0,2.719e+04,2.930e+04,2.057e+04,7.705e+04
117.6,2.778e+04,2.600e+04,1.613e+04,6.991e+04
119.1,3.195e+04,2.137e+04,1.204e+04,6.536e+04
120.7,3.654e+04,1.829e+04,1.118e+04,6.601e+04
122.3,4.187e+04,1.618e+04,1.122e+04,6.927e+04
123.8,4.962e+04,1.476e+04,1.142e+04,7.581e+04
125.4,5.114e+04,1.384e+04,1.226e+04,7.725e+04
127.0,5.008e+04,1.343e+04,1.387e+04,7.739e+04
128.5,4.827e+04,1.431e+04,1.857e+04,8.115e+04
130.1,3.385e+04,1.366e+04,2.018e+04,6.768e+04
131.7,2.452e+04,1.172e+04,1.816e+04,5.440e+04
133.3,1.159e+04,7.079e+03,9.874e+03,2.855e+04
134.8,4.464e+03,3.971e+03,3.652e+03,1.209e+04
136.4,4.392e+03,3.474e+03,2.716e+03,1.058e+04
138.0,4.266e+03,3.142e+03,2.202e+03,9.609e+03
139.5,4.254e+03,2.879e+03,1.786e+03,8.919e+03
