freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.608e+02,7.932e+00,2.098e+01,3.897e+02
1.6,2.186e+02,2.208e+01,4.806e+01,2.888e+02
3.1,3.349e+01,2.499e+01,5.008e+01,1.086e+02
4.7,3.919e+02,2.331e+01,4.910e+01,4.643e+02
6.3,1.295e+03,2.168e+01,5.022e+01,1.367e+03
7.8,2.001e+03,2.309e+01,5.226e+01,2.076e+03
9.4,2.895e+03,2.488e+01,5.121e+01,2.972e+03
11.0,3.896e+03,2.456e+01,5.409e+01,3.975e+03
12.5,5.200e+03,2.310e+01,5.310e+01,5.276e+03
14.1,6.848e+03,2.379e+01,4.732e+01,6.919e+03
15.7,8.923e+03,2.465e+01,4.546e+01,8.993e+03
17.2,1.138e+04,2.635e+01,5.086e+01,1.146e+04
18.8,1.407e+04,2.600e+01,5.012e+01,1.415e+04
20.4,1.679e+04,2.656e+01,5.296e+01,1.687e+04
22.0,1.992e+04,3.014e+01,5.822e+01,2.001e+04
23.5,2.399e+04,3.637e+01,6.185e+01,2.409e+04
25.1,2.793e+04,4.085e+01,8.416e+01,2.805e+04
26.7,3.201e+04,3.490e+01,1.223e+02,3.217e+04
28.2,3.884e+04,3.128e+01,1.607e+02,3.903e+04
29.8,4.878e+04,3.599e+01,2.639e+02,4.908e+04
31.4,5.967e+04,4.098e+01,4.668e+02,6.018e+04
32.9,6.403e+04,6.868e+01,4.414e+02,6.454e+04
34.5,6.754e+04,9.324e+01,2.549e+02,6.789e+04
36.1,8.080e+04,1.332e+02,2.798e+02,8.121e+04
37.6,1.044e+05,2.527e+02,7.914e+02,1.055e+05
39.2,1.388e+05,4.460e+02,1.856e+03,1.411e+05
40.8,1.789e+05,7.469e+02,3.659e+03,1.833e+05
42.3,2.193e+05,1.234e+03,7.367e+03,2.279e+05
43.9,2.701e+05,2.170e+03,1.694e+04,2.892e+05
45.5,3.417e+05,3.582e+03,3.645e+04,3.817e+05
47.0,4.459e+05,4.364e+03,5.680e+04,5.071e+05
48.6,6.059e+05,3.373e+03,6.020e+04,6.695e+05
50.2,9.119e+05,1.992e+03,4.380e+04,9.577e+05
51.7,1.276e+06,2.606e+03,2.390e+04,1.302e+06
53.3,1.256e+06,3.775e+03,1.408e+04,1.274e+06
54.9,9.084e+05,3.322e+03,1.180e+04,9.235e+05
56.4,5.851e+05,2.635e+03,9.794e+03,5.976e+05
58.0,3.765e+05,2.770e+03,6.456e+03,3.857e+05
59.6,2.283e+05,2.842e+03,3.381e+03,2.345e+05
61.1,1.844e+05,4.110e+03,1.370e+03,1.899e+05
62.7,1.932e+05,6.270e+03,1.128e+03,2.006e+05
64.3,1.687e+05,6.126e+03,1.695e+03,1.765e+05
65.9,1.430e+05,4.884e+03,1.661e+03,1.495e+05
67.4,1.189e+05,3.833e+03,1.487e+03,1.242e+05
69.0,9.613e+04,2.814e+03,1.229e+03,1.002e+05
70.6,7.710e+04,2.012e+03,9.904e+02,8.010e+04
72.1,6.107e+04,1.499e+03,8.743e+02,6.344e+04
73.7,4.900e+04,1.088e+03,6.087e+02,5.069e+04
75.3,4.059e+04,7.213e+02,5.209e+02,4.183e+04
76.8,3.510e+04,5.218e+02,6.022e+02,3.622e+04
78.4,3.198e+04,6.909e+02,8.199e+02,3.349e+04
